X,Y,OBJECTID,IDENTIFICA,TIPO,icon_url
-68.8163308193758,-33.0721797365653,"705",SET-ECP-N6,De Distribucion,./0.png
-68.7991018221962,-33.1427565727398,"707",SET-B-532,De Distribucion,./0.png
-68.3312780343925,-33.5965924639009,"708",SET-VI-217,De Pozo,./0.png
-68.3820379340282,-33.57864751161,"709",SET-VI-257,De Pozo,./0.png
-68.8106413424622,-33.1272304055467,"710",SET-B-515,De Distribucion,./0.png
-68.7631306706626,-33.2156891812863,"711",SET-B-N20,De Distribucion,./0.png
-68.7268123840295,-33.2253614475322,"712",SET-LC-61,De Distribución,./0.png
-68.7203623336801,-33.2600845756287,"715",SET-LC-65,De Distribucion,./0.png
-68.7736934311062,-33.1545468170365,"717",SET-B-49,De Distribucion,./0.png
-68.439195097403,-33.5319057683801,"720",SET-VI-72,De Pozo,./0.png
-68.7664158156196,-33.1593579291607,"723",SET-BV-72,De Distribucion,./0.png
-68.410086391842,-33.5702802426683,"725",SET-VI-1018,De Pozo,./0.png
-68.421734916253,-33.5523822554153,"726",SET-VI-290,De Pozo,./0.png
-68.3979789541091,-33.5869440353363,"727",SET-VI-150,De Pozo,./0.png
-68.7974100123521,-33.1529321643902,"731",SET-B-,De Distribucion,./0.png
-68.4146666230971,-33.5640224966008,"732",SET-VI-113,De Pozo,./0.png
-68.3949017238804,-33.5791955445455,"735",SET-VI-255,De Pozo,./0.png
-68.4352065692247,-33.5463773569745,"736",SET-VI-48,De Pozo,./0.png
-68.4317266372937,-33.5545429697033,"738",SET-VI-260,De Pozo,./0.png
-68.4876327929234,-33.5446383874287,"739",SET-ViO.a-6,De Pozo,./0.png
-68.4216516248848,-33.5547110144088,"740",SET-VI-98,De Pozo,./0.png
-68.7969161608926,-33.1954681536948,"742",SET-B-512,De Distribucion,./0.png
-68.4930149945399,-33.542483656561,"744",SET-ViO-9,De Pozo,./0.png
-68.412462168658,-33.5501688128448,"745",SET-VI-45,De Pozo,./0.png
-68.4131613835617,-33.5915439653653,"748",SET-VI-157,De Pozo,./0.png
-68.4049774617054,-33.5721834743236,"749",SET-VI-235,De Pozo,./0.png
-68.4227011624749,-33.557571904611,"751",SET-VI-1001,De Distribucion,./0.png
